Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"COX17","Cytochrome C Oxidase Copper Chaperone COX17","Protein Coding","Q14061","47","GC03M119654","43.6268920898438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX17"
"APP","Amyloid Beta Precursor Protein","Protein Coding","P05067","63","GC21M025880","42.4317321777344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
"AOC3","Amine Oxidase Copper Containing 3","Protein Coding","Q16853","58","GC17P042851","41.7531929016113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC3"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","38.7822151184082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"ALB","Albumin","Protein Coding","P02768","61","GC04P073397","38.7022933959961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"CYP2C19","Cytochrome P450 Family 2 Subfamily C Member 19","Protein Coding","P33261","57","GC10P094762","38.5803909301758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C19"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","38.3795471191406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","38.205020904541","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"AOC1","Amine Oxidase Copper Containing 1","Protein Coding","P19801","55","GC07P150824","37.6269416809082","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC1"
"CAT","Catalase","Protein Coding","P04040","64","GC11P034460","37.4244384765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT"
"CYP1A2","Cytochrome P450 Family 1 Subfamily A Member 2","Protein Coding","P05177","58","GC15P074748","36.9535140991211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","P09172","64","GC09P133636","36.5822448730469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"TP53","Tumor Protein P53","Protein Coding","P04637","66","GC17M007661","34.8254013061523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"HADHA","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha","Protein Coding","P40939","59","GC02M026190","34.165828704834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA"
"OTC","Ornithine Transcarbamylase","Protein Coding","P00480","59","GC0XP038345","33.8667945861816","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTC"
"TYR","Tyrosinase","Protein Coding","P14679","61","GC11P089177","33.3459854125977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYR"
"HFE","Homeostatic Iron Regulator","Protein Coding","Q30201","58","GC06P026087","33.2033615112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P132305","33.0119247436523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"APOB","Apolipoprotein B","Protein Coding","P04114","58","GC02M020956","32.6836547851563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","32.4482841491699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"ACADVL","Acyl-CoA Dehydrogenase Very Long Chain","Protein Coding","P49748","58","GC17P132621","32.4044761657715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADVL"
"SLC31A2","Solute Carrier Family 31 Member 2","Protein Coding","O15432","48","GC09P113150","32.2400665283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC31A2"
"SFTPB","Surfactant Protein B","Protein Coding","P07988","55","GC02M085657","32.0297813415527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPB"
"SCO1","Synthesis Of Cytochrome C Oxidase 1","Protein Coding","O75880","57","GC17M010672","31.9202613830566","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCO1"
"LOX","Lysyl Oxidase","Protein Coding","P28300","60","GC05M122063","31.6252517700195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX"
"CYP2C9","Cytochrome P450 Family 2 Subfamily C Member 9","Protein Coding","P11712","59","GC10P094938","31.5980014801025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9"
"CPT2","Carnitine Palmitoyltransferase 2","Protein Coding","P23786","62","GC01P053196","31.4076881408691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT2"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","31.2053966522217","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"SLC33A1","Solute Carrier Family 33 Member 1","Protein Coding","O00400","55","GC03M155821","30.6859760284424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC33A1"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","30.6164512634277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","20","GC06M159772","30.5939674377441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"NPC1","NPC Intracellular Cholesterol Transporter 1","Protein Coding","O15118","62","GC18M023506","30.5474433898926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1"
"APOA1","Apolipoprotein A1","Protein Coding","P02647","63","GC11M116835","30.2781620025635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","29.9116325378418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"AOC2","Amine Oxidase Copper Containing 2","Protein Coding","O75106","48","GC17P042844","29.5085601806641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC2"
"PRNP","Prion Protein (Kanno Blood Group)","Protein Coding","F7VJQ1","61","GC20P004686","29.3309669494629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRNP"
"ETFDH","Electron Transfer Flavoprotein Dehydrogenase","Protein Coding","Q16134","57","GC04P158672","29.2392501831055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETFDH"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","29.1878662109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"CYP1A1","Cytochrome P450 Family 1 Subfamily A Member 1","Protein Coding","P04798","59","GC15M074719","28.9864654541016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A1"
"CUTC","CutC Copper Transporter","Protein Coding","Q9NTM9","46","GC10P099702","28.936185836792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUTC"
"PAH","Phenylalanine Hydroxylase","Protein Coding","P00439","60","GC12M102836","28.8992557525635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAH"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","28.6650772094727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"HADHB","Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta","Protein Coding","P55084","59","GC02P026243","28.5357856750488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHB"
"COX11","Cytochrome C Oxidase Copper Chaperone COX11","Protein Coding","Q9Y6N1","51","GC17M054951","28.5253753662109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX11"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","57","GC06M073593","27.9312057495117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"CYP2E1","Cytochrome P450 Family 2 Subfamily E Member 1","Protein Coding","P05181","58","GC10P133520","27.6111755371094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2E1"
"CYP3A5","Cytochrome P450 Family 3 Subfamily A Member 5","Protein Coding","P20815","58","GC07M099648","27.5863265991211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A5"
"CETP","Cholesteryl Ester Transfer Protein","Protein Coding","P11597","59","GC16P056961","27.5340061187744","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CETP"
"SLC22A5","Solute Carrier Family 22 Member 5","Protein Coding","O76082","59","GC05P132369","27.3609294891357","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A5"
"XDH","Xanthine Dehydrogenase","Protein Coding","P47989","60","GC02M031334","27.3107471466064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","27.2698822021484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"CYP2A6","Cytochrome P450 Family 2 Subfamily A Member 6","Protein Coding","P11509","57","GC19M040843","27.0133419036865","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6"
"NAGLU","N-Acetyl-Alpha-Glucosaminidase","Protein Coding","P54802","56","GC17P133798","26.9884929656982","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAGLU"
"ATP4A","ATPase H+/K+ Transporting Subunit Alpha","Protein Coding","P20648","53","GC19M101714","26.7325344085693","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP4A"
"SMAD5-AS1","SMAD5 Antisense RNA 1","RNA Gene","Q9Y6J3","30","GC05M136129","26.72265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5-AS1"
"SLC11A2","Solute Carrier Family 11 Member 2","Protein Coding","P49281","61","GC12M050952","26.6579132080078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A2"
"LIPC","Lipase C, Hepatic Type","Protein Coding","P11150","58","GC15P058410","26.5971240997314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","P24298","54","GC08P144502","26.5792236328125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"CYP1B1","Cytochrome P450 Family 1 Subfamily B Member 1","Protein Coding","Q16678","61","GC02M038066","26.5394077301025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1B1"
"EIF2AK3","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3","Protein Coding","Q9NZJ5","63","GC02M088556","26.5104103088379","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3"
"AHCY","Adenosylhomocysteinase","Protein Coding","P23526","61","GC20M035962","26.2517356872559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHCY"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","58","GC19P040991","26.1689434051514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","P11413","63","GC0XM154610","25.9489212036133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"BGLAP","Bone Gamma-Carboxyglutamate Protein","Protein Coding","P02818","52","GC01P156242","25.7339019775391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BGLAP"
"G6PC1","Glucose-6-Phosphatase Catalytic Subunit 1","Protein Coding","P35575","56","GC17P135176","25.7296772003174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC1"
"INSR","Insulin Receptor","Protein Coding","P06213","66","GC19M007112","25.712703704834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"GSR","Glutathione-Disulfide Reductase","Protein Coding","P00390","62","GC08M030678","25.2339859008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSR"
"TF","Transferrin","Protein Coding","P02787","63","GC03P140959","25.1645126342773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","56","GC22P046150","25.0663414001465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M165279","25.0301475524902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"SOD2","Superoxide Dismutase 2","Protein Coding","P04179","61","GC06M159669","24.9218502044678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"TMX2-CTNND1","TMX2-CTNND1 Readthrough (NMD Candidate)","RNA Gene","","26","GC11P057712","24.7544174194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1"
"HSD17B10","Hydroxysteroid 17-Beta Dehydrogenase 10","Protein Coding","Q99714","59","GC0XM053431","24.7003765106201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD17B10"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","61","GC15M051208","24.5816173553467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"SLC25A20","Solute Carrier Family 25 Member 20","Protein Coding","O43772","58","GC03M048960","24.5524387359619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A20"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","P31749","66","GC14M104769","24.5323181152344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"LOC130009838","ATAC-STARR-Seq Lymphoblastoid Silent Region 5378","Functional Element","","9","GC13P052011","24.5175361633301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130009838"
"DDC","Dopa Decarboxylase","Protein Coding","P20711","63","GC07M050458","24.331090927124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDC"
"GLUD1","Glutamate Dehydrogenase 1","Protein Coding","P00367","63","GC10M087050","24.1052017211914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD1"
"ECHS1","Enoyl-CoA Hydratase, Short Chain 1","Protein Coding","P30084","58","GC10M133362","24.0190258026123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECHS1"
"AP1S1","Adaptor Related Protein Complex 1 Subunit Sigma 1","Protein Coding","P61966","51","GC07P101154","23.5225296020508","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1S1"
"ALDH2","Aldehyde Dehydrogenase 2 Family Member","Protein Coding","P05091","63","GC12P111766","23.5189437866211","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH2"
"ACAT1","Acetyl-CoA Acetyltransferase 1","Protein Coding","P24752","63","GC11P108121","23.5039176940918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAT1"
"COX5A","Cytochrome C Oxidase Subunit 5A","Protein Coding","P20674","56","GC15M074919","23.4981002807617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX5A"
"SERPINA1","Serpin Family A Member 1","Protein Coding","P01009","62","GC14M094376","23.3403587341309","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1"
"UGT1A1","UDP Glucuronosyltransferase Family 1 Member A1","Protein Coding","P22309","63","GC02P233760","23.248218536377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A1"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","O95477","61","GC09M104781","23.1923732757568","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"GGT1","Gamma-Glutamyltransferase 1","Protein Coding","P19440","62","GC22P024583","23.1537075042725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1"
"CYP27B1","Cytochrome P450 Family 27 Subfamily B Member 1","Protein Coding","O15528","58","GC12M059933","23.1079025268555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP27B1"
"CYP2C8","Cytochrome P450 Family 2 Subfamily C Member 8","Protein Coding","P10632","59","GC10M095038","22.9234657287598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C8"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","58","GC11M073974","22.8138179779053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"APOC3","Apolipoprotein C3","Protein Coding","P02656","58","GC11P116829","22.810697555542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOC3"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","22.7793083190918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","22.7727394104004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"GAA","Alpha Glucosidase","Protein Coding","P10253","63","GC17P080101","22.6683654785156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA"
"PGK1","Phosphoglycerate Kinase 1","Protein Coding","P00558","62","GC0XP078216","22.647518157959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1"
"LCAT","Lecithin-Cholesterol Acyltransferase","Protein Coding","P04180","59","GC16M067939","22.5131225585938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","62","GC20P044355","22.4813232421875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","P16435","61","GC07P075899","22.3878917694092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"DHFR","Dihydrofolate Reductase","Protein Coding","P00374","61","GC05M080626","22.2052516937256","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"CASR","Calcium Sensing Receptor","Protein Coding","P41180","63","GC03P122183","22.1087989807129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR"
"HMOX1","Heme Oxygenase 1","Protein Coding","P09601","65","GC22P035380","22.087251663208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"RYR1","Ryanodine Receptor 1","Protein Coding","P21817","61","GC19P132993","21.9995765686035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYR1"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","P13569","66","GC07P117287","21.9773368835449","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"GPX1","Glutathione Peroxidase 1","Protein Coding","P07203","56","GC03M054269","21.9535961151123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX1"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","61","GC14P061695","21.8363342285156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"SUOX","Sulfite Oxidase","Protein Coding","P51687","57","GC12P055997","21.766845703125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUOX"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","63","GC22P019941","21.7189559936523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"TH","Tyrosine Hydroxylase","Protein Coding","P07101","63","GC11M002163","21.7186412811279","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"RBP4","Retinol Binding Protein 4","Protein Coding","P02753","57","GC10M093591","21.7157592773438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4"
"APOA5","Apolipoprotein A5","Protein Coding","Q6Q788","55","GC11M116789","21.7122745513916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"FH","Fumarate Hydratase","Protein Coding","P07954","59","GC01M241499","21.7067604064941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FH"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","21.6979236602783","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"MIR7-3HG","MIR7-3 Host Gene","RNA Gene","Q8N6C7","34","GC19P132003","21.6785850524902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG"
"F2","Coagulation Factor II, Thrombin","Protein Coding","P00734","63","GC11P048362","21.6591491699219","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"HPRT1","Hypoxanthine Phosphoribosyltransferase 1","Protein Coding","P00492","61","GC0XP134460","21.6524085998535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPRT1"
"PNPLA3","Patatin Like Phospholipase Domain Containing 3","Protein Coding","Q9NST1","54","GC22P043923","21.5528602600098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3"
"SLC25A13","Solute Carrier Family 25 Member 13","Protein Coding","Q9UJS0","58","GC07M096120","21.4629039764404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13"
"PON1","Paraoxonase 1","Protein Coding","P27169","60","GC07M095297","21.4418907165527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","P09488","55","GC01P109687","21.4223823547363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM1"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","O95831","63","GC0XM130129","21.3702259063721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"ADA","Adenosine Deaminase","Protein Coding","P00813","63","GC20M044620","21.2928466796875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"SLCO1B1","Solute Carrier Organic Anion Transporter Family Member 1B1","Protein Coding","Q9Y6L6","58","GC12P047172","21.2086486816406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO1B1"
"SMPD1","Sphingomyelin Phosphodiesterase 1","Protein Coding","P17405","61","GC11P006390","21.1689853668213","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMPD1"
"MT-CO1","Mitochondrially Encoded Cytochrome C Oxidase I","Protein Coding","P00395","46","GCMTP005906","20.9661998748779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO1"
"MAOA","Monoamine Oxidase A","Protein Coding","P21397","62","GC0XP043654","20.8774871826172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOA"
"MTHFD1","Methylenetetrahydrofolate Dehydrogenase, Cyclohydrolase And Formyltetrahydrofolate Synthetase 1","Protein Coding","P11586","58","GC14P064388","20.8353385925293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFD1"
"MIR122","MicroRNA 122","RNA Gene","","30","GC18P058451","20.7478942871094","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"DLD","Dihydrolipoamide Dehydrogenase","Protein Coding","P09622","62","GC07P109031","20.7302131652832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLD"
"IL10","Interleukin 10","Protein Coding","P22301","60","GC01M206767","20.7251739501953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"PAM","Peptidylglycine Alpha-Amidating Monooxygenase","Protein Coding","P19021","54","GC05P102753","20.6949882507324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAM"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","59","GC04M023755","20.6940937042236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"ALDH18A1","Aldehyde Dehydrogenase 18 Family Member A1","Protein Coding","P54886","58","GC10M095605","20.6739959716797","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH18A1"
"ELN","Elastin","Protein Coding","P15502","55","GC07P074027","20.6351299285889","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M156028","20.6102180480957","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"LDHA","Lactate Dehydrogenase A","Protein Coding","P00338","63","GC11P018394","20.583345413208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDHA"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","P81172","55","GC19P132915","20.5534362792969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"MT-CO2","Mitochondrially Encoded Cytochrome C Oxidase II","Protein Coding","P00403","49","GCMTP007587","20.5120391845703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CO2"
"SLC40A1","Solute Carrier Family 40 Member 1","Protein Coding","Q9NP59","61","GC02M189560","20.4089832305908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC40A1"
"EPHX1","Epoxide Hydrolase 1","Protein Coding","P07099","57","GC01P225810","20.368200302124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHX1"
"ARG1","Arginase 1","Protein Coding","P05089","62","GC06P158145","20.3391742706299","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARG1"
"GSS","Glutathione Synthetase","Protein Coding","P48637","59","GC20M034928","20.2913818359375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSS"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","20.2477970123291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
